"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1328,"Greater Accra","2012",12.19,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2012",0.09,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2012",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2012",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2012",1.52,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2012",2.39,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2011",2.71,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2011",1.13,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2011",0.52,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2011",0.86,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2011",11.83,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2011",6.05,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2011",0.04,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2011",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2011",1.45,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2011",0.10,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2010",2.15,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2010",4.09,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2010",0.61,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2010",0.41,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2010",1.26,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2010",0.05,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2010",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2010",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2010",0.33,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2010",0.94,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2009",0.55,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2009",0.02,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2009",0.22,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2009",0.15,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2009",3.32,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2009",0.14,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2009",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2009",0.56,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2009",1.14,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2009",0.12,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2008",0.02,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2008",0.27,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2008",0.98,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2008",0.31,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2008",0.66,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2008",0.96,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2008",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2008",0.07,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2008",0.27,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2008",0.27,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2007",2.17,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2007",8.79,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2007",0.92,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2007",2.40,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2007",44.02,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2007",7.58,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2007",12.47,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2007",0.30,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2007",3.02,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2007",6.61,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2006",0.31,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2006",2.73,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2006",4.11,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2006",0.16,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2006",8.81,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2006",1.87,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2006",0.18,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2006",0.11,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2006",1.29,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2006",1.98,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2005",0.04,"VHI % below 35 "
