"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Ukraine","Area","2019","1000 ha","389.00",""
"Ukraine","Area","2018","1000 ha","381.00",""
"Ukraine","Area","2017","1000 ha","373.00",""
"Ukraine","Area","2016","1000 ha","329.00",""
"Ukraine","Area","2015","1000 ha","314.00",""
"Ukraine","Area","2014","1000 ha","310.00",""
"Ukraine","Area","2013","1000 ha","402.00",""
"Ukraine","Area","2012","1000 ha","376.00",""
"Ukraine","Area","2011","1000 ha","371.00",""
"Ukraine","Area","2010","1000 ha","370.00",""
"Ukraine","Area","2009","1000 ha","405.00",""
"United Arab Emirates","Area","2021","1000 ha","91.56",""
"United Arab Emirates","Area","2020","1000 ha","89.80",""
"United Arab Emirates","Area","2019","1000 ha","90.40",""
"United Arab Emirates","Area","2018","1000 ha","81.70",""
"United Arab Emirates","Area","2017","1000 ha","83.80",""
"United Arab Emirates","Area","2016","1000 ha","83.80",""
"United Arab Emirates","Area","2015","1000 ha","82.80",""
"United Arab Emirates","Area","2014","1000 ha","82.50",""
"United Arab Emirates","Area","2013","1000 ha","79.40",""
"United Arab Emirates","Area","2012","1000 ha","48.10",""
"United Arab Emirates","Area","2011","1000 ha","71.10",""
"United Arab Emirates","Area","2010","1000 ha","76.00",""
"United Republic of Tanzania","Area","2020","1000 ha","144.60",""
"United States of America","Area","2017","1000 ha","21837.24",""
"United States of America","Area","2012","1000 ha","21081.79",""
"Uruguay","Area","2018","1000 ha","211.00",""
"Uruguay","Area","2017","1000 ha","211.00",""
"Uruguay","Area","2016","1000 ha","211.00",""
"Uruguay","Area","2012","1000 ha","200.00",""
"Uruguay","Area","2011","1000 ha","200.00",""
"Uruguay","Area","2010","1000 ha","178.00",""
"Uruguay","Area","2009","1000 ha","173.00",""
"Uruguay","Area","2008","1000 ha","180.00",""
"Uruguay","Area","2007","1000 ha","157.00",""
"Uruguay","Area","2006","1000 ha","161.00",""
"Uzbekistan","Area","2021","1000 ha","3689.50",""
"Uzbekistan","Area","2020","1000 ha","3689.10",""
"Uzbekistan","Area","2019","1000 ha","3686.20",""
"Uzbekistan","Area","2018","1000 ha","3691.20",""
"Uzbekistan","Area","2017","1000 ha","3693.20",""
"Uzbekistan","Area","2016","1000 ha","3623.10",""
"Uzbekistan","Area","2015","1000 ha","3624.30",""

